시점,항목,죄종별(1),데이터
2011,발생건수 (건),총계,1752598
2012,발생건수 (건),총계,1793400
2013,발생건수 (건),총계,1857276
2014,발생건수 (건),총계,1778966
2015,발생건수 (건),총계,1861657
2016,발생건수 (건),총계,1849450
2017,발생건수 (건),총계,1662341
2018,발생건수 (건),총계,1580751
2019,발생건수 (건),총계,1611906
